,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize
729,0,3,1,25.0,1,0,7.925,0,2
287,0,3,0,22.0,0,0,7.8958,0,1
586,0,2,0,47.0,0,0,15.0,0,1
119,0,3,1,2.0,4,2,31.275,0,7
368,1,3,1,28.0,0,0,7.75,1,1
564,0,3,1,28.0,0,0,8.05,0,1
21,1,2,0,34.0,0,0,13.0,0,1
390,1,1,0,36.0,1,2,120.0,0,4
395,0,3,0,22.0,0,0,7.7958,0,1
763,1,1,1,36.0,1,2,120.0,0,4
93,0,3,0,26.0,1,2,20.575,0,4
289,1,3,1,22.0,0,0,7.75,1,1
397,0,2,0,46.0,0,0,26.0,0,1
361,0,2,0,29.0,1,0,27.7208,2,2
449,1,1,0,52.0,0,0,30.5,0,1
496,1,1,1,54.0,1,0,78.2667,2,2
667,0,3,0,28.0,0,0,7.775,0,1
551,0,2,0,27.0,0,0,26.0,0,1
216,1,3,1,27.0,0,0,7.925,0,1
173,0,3,0,21.0,0,0,7.925,0,1
485,0,3,1,28.0,3,1,25.4667,0,5
889,1,1,0,26.0,0,0,30.0,2,1
14,0,3,1,14.0,0,0,7.8542,0,1
231,0,3,0,29.0,0,0,7.775,0,1
243,0,3,0,22.0,0,0,7.125,0,1
116,0,3,0,70.5,0,0,7.75,1,1
531,0,3,0,28.0,0,0,7.2292,2,1
58,1,2,1,5.0,1,2,27.75,0,4
50,0,3,0,7.0,4,1,39.6875,0,6
404,0,3,1,20.0,0,0,8.6625,0,1
783,0,3,0,28.0,1,2,23.45,0,4
781,1,1,1,17.0,1,0,57.0,0,2
410,0,3,0,28.0,0,0,7.8958,0,1
580,1,2,1,25.0,1,1,30.0,0,3
670,1,2,1,40.0,1,1,39.0,0,3
40,0,3,1,40.0,1,0,9.475,0,2
238,0,2,0,19.0,0,0,10.5,0,1
17,1,2,0,28.0,0,0,13.0,0,1
101,0,3,0,28.0,0,0,7.8958,0,1
205,0,3,1,2.0,0,1,10.4625,0,2
292,0,2,0,36.0,0,0,12.875,2,1
143,0,3,0,19.0,0,0,6.75,1,1
217,0,2,0,42.0,1,0,27.0,0,2
527,0,1,0,28.0,0,0,221.7792,0,1
625,0,1,0,61.0,0,0,32.3208,0,1
622,1,3,0,20.0,1,1,15.7417,2,3
66,1,2,1,29.0,0,0,10.5,0,1
156,1,3,1,16.0,0,0,7.7333,1,1
770,0,3,0,24.0,0,0,9.5,0,1
451,0,3,0,28.0,1,0,19.9667,0,2
802,1,1,0,11.0,1,2,120.0,0,4
155,0,1,0,51.0,0,1,61.3792,2,2
812,0,2,0,35.0,0,0,10.5,0,1
885,0,3,1,39.0,0,5,29.125,1,6
399,1,2,1,28.0,0,0,12.65,0,1
346,1,2,1,40.0,0,0,13.0,0,1
644,1,3,1,0.75,2,1,19.2583,2,4
836,0,3,0,21.0,0,0,8.6625,0,1
131,0,3,0,20.0,0,0,7.05,0,1
733,0,2,0,23.0,0,0,13.0,0,1
568,0,3,0,28.0,0,0,7.2292,2,1
91,0,3,0,20.0,0,0,7.8542,0,1
593,0,3,1,28.0,0,2,7.75,1,3
76,0,3,0,28.0,0,0,7.8958,0,1
584,0,3,0,28.0,0,0,8.7125,2,1
505,0,1,0,18.0,1,0,108.9,2,2
534,0,3,1,30.0,0,0,8.6625,0,1
11,1,1,1,58.0,0,0,26.55,0,1
514,0,3,0,24.0,0,0,7.4958,0,1
232,0,2,0,59.0,0,0,13.5,0,1
268,1,1,1,58.0,0,1,153.4625,0,2
466,0,2,0,28.0,0,0,0.0,0,1
448,1,3,1,5.0,2,1,19.2583,2,4
743,0,3,0,24.0,1,0,16.1,0,2
541,0,3,1,9.0,4,2,31.275,0,7
569,1,3,0,32.0,0,0,7.8542,0,1
65,1,3,0,28.0,1,1,15.2458,2,3
813,0,3,1,6.0,4,2,31.275,0,7
39,1,3,1,14.0,1,0,11.2417,2,2
828,1,3,0,28.0,0,0,7.75,1,1
849,1,1,1,28.0,1,0,89.1042,2,2
841,0,2,0,16.0,0,0,10.5,0,1
816,0,3,1,23.0,0,0,7.925,0,1
822,0,1,0,38.0,0,0,0.0,0,1
789,0,1,0,46.0,0,0,79.2,2,1
633,0,1,0,28.0,0,0,0.0,0,1
123,1,2,1,32.5,0,0,13.0,0,1
488,0,3,0,30.0,0,0,8.05,0,1
467,0,1,0,56.0,0,0,26.55,0,1
355,0,3,0,28.0,0,0,9.5,0,1
567,0,3,1,29.0,0,4,21.075,0,5
529,0,2,0,23.0,2,1,11.5,0,4
762,1,3,0,20.0,0,0,7.2292,2,1
540,1,1,1,36.0,0,2,71.0,0,3
864,0,2,0,24.0,0,0,13.0,0,1
430,1,1,0,28.0,0,0,26.55,0,1
689,1,1,1,15.0,0,1,211.3375,0,2
809,1,1,1,33.0,1,0,53.1,0,2
447,1,1,0,34.0,0,0,26.55,0,1
108,0,3,0,38.0,0,0,7.8958,0,1
304,0,3,0,28.0,0,0,8.05,0,1
798,0,3,0,30.0,0,0,7.2292,2,1
482,0,3,0,50.0,0,0,8.05,0,1
72,0,2,0,21.0,0,0,73.5,0,1
484,1,1,0,25.0,1,0,91.0792,2,2
260,0,3,0,28.0,0,0,7.75,1,1
487,0,1,0,58.0,0,0,29.7,2,1
826,0,3,0,28.0,0,0,56.4958,0,1
429,1,3,0,32.0,0,0,8.05,0,1
334,1,1,1,28.0,1,0,133.65,0,2
314,0,2,0,43.0,1,1,26.25,0,3
54,0,1,0,65.0,0,1,61.9792,2,2
685,0,2,0,25.0,1,2,41.5792,2,4
317,0,2,0,54.0,0,0,14.0,0,1
223,0,3,0,28.0,0,0,7.8958,0,1
718,0,3,0,28.0,0,0,15.5,1,1
663,0,3,0,36.0,0,0,7.4958,0,1
177,0,1,1,50.0,0,0,28.7125,2,1
396,0,3,1,31.0,0,0,7.8542,0,1
522,0,3,0,28.0,0,0,7.225,2,1
792,0,3,1,28.0,8,2,69.55,0,11
648,0,3,0,28.0,0,0,7.55,0,1
144,0,2,0,18.0,0,0,11.5,0,1
504,1,1,1,16.0,0,0,86.5,0,1
800,0,2,0,34.0,0,0,13.0,0,1
704,0,3,0,26.0,1,0,7.8542,0,2
330,1,3,1,28.0,2,0,23.25,1,3
780,1,3,1,13.0,0,0,7.2292,2,1
753,0,3,0,23.0,0,0,7.8958,0,1
178,0,2,0,30.0,0,0,13.0,0,1
228,0,2,0,18.0,0,0,13.0,0,1
286,1,3,0,30.0,0,0,9.5,0,1
169,0,3,0,28.0,0,0,56.4958,0,1
149,0,2,0,42.0,0,0,13.0,0,1
52,1,1,1,49.0,1,0,76.7292,2,2
804,1,3,0,27.0,0,0,6.975,0,1
104,0,3,0,37.0,2,0,7.925,0,3
331,0,1,0,45.5,0,0,28.5,0,1
97,1,1,0,23.0,0,1,63.3583,2,2
272,1,2,1,41.0,0,1,19.5,0,2
458,1,2,1,50.0,0,0,10.5,0,1
296,0,3,0,23.5,0,0,7.2292,2,1
492,0,1,0,55.0,0,0,30.5,0,1
759,1,1,1,33.0,0,0,86.5,0,1
554,1,3,1,22.0,0,0,7.775,0,1
161,1,2,1,40.0,0,0,15.75,0,1
252,0,1,0,62.0,0,0,26.55,0,1
823,1,3,1,27.0,0,1,12.475,0,2
117,0,2,0,29.0,1,0,21.0,0,2
799,0,3,1,30.0,1,1,24.15,0,3
694,0,1,0,60.0,0,0,26.55,0,1
574,0,3,0,16.0,0,0,8.05,0,1
772,0,2,1,57.0,0,0,10.5,0,1
614,0,3,0,35.0,0,0,8.05,0,1
528,0,3,0,39.0,0,0,7.925,0,1
844,0,3,0,17.0,0,0,8.6625,0,1
638,0,3,1,41.0,0,5,39.6875,0,6
855,1,3,1,18.0,0,1,9.35,0,2
105,0,3,0,28.0,0,0,7.8958,0,1
186,1,3,1,28.0,1,0,15.5,1,2
658,0,2,0,23.0,0,0,13.0,0,1
779,1,1,1,43.0,0,1,211.3375,0,2
360,0,3,0,40.0,1,4,27.9,0,6
189,0,3,0,36.0,0,0,7.8958,0,1
860,0,3,0,41.0,2,0,14.1083,0,3
215,1,1,1,31.0,1,0,113.275,2,2
765,1,1,1,51.0,1,0,77.9583,0,2
153,0,3,0,40.5,0,2,14.5,0,3
159,0,3,0,28.0,8,2,69.55,0,11
78,1,2,0,0.83,0,2,29.0,0,3
773,0,3,0,28.0,0,0,7.225,2,1
435,1,1,1,14.0,1,2,120.0,0,4
555,0,1,0,62.0,0,0,26.55,0,1
22,1,3,1,15.0,0,0,8.0292,1,1
371,0,3,0,18.0,1,0,6.4958,0,2
787,0,3,0,8.0,4,1,29.125,1,6
290,1,1,1,26.0,0,0,78.85,0,1
109,1,3,1,28.0,1,0,24.15,1,2
100,0,3,1,28.0,0,0,7.8958,0,1
726,1,2,1,30.0,3,0,21.0,0,4
861,0,2,0,21.0,1,0,11.5,0,2
384,0,3,0,28.0,0,0,7.8958,0,1
615,1,2,1,24.0,1,2,65.0,0,4
755,1,2,0,0.67,1,1,14.5,0,3
94,0,3,0,59.0,0,0,7.25,0,1
598,0,3,0,28.0,0,0,7.225,2,1
610,0,3,1,39.0,1,5,31.275,0,7
741,0,1,0,36.0,1,0,78.85,0,2
414,1,3,0,44.0,0,0,7.925,0,1
336,0,1,0,29.0,1,0,66.6,0,2
0,0,3,0,22.0,1,0,7.25,0,2
471,0,3,0,38.0,0,0,8.6625,0,1
249,0,2,0,54.0,1,0,26.0,0,2
536,0,1,0,45.0,0,0,26.55,0,1
80,0,3,0,22.0,0,0,9.0,0,1
190,1,2,1,32.0,0,0,13.0,0,1
328,1,3,1,31.0,1,1,20.525,0,3
179,0,3,0,36.0,0,0,0.0,0,1
220,1,3,0,16.0,0,0,8.05,0,1
297,0,1,1,2.0,1,2,151.55,0,4
651,1,2,1,18.0,0,1,23.0,0,2
354,0,3,0,28.0,0,0,7.225,2,1
738,0,3,0,28.0,0,0,7.8958,0,1
751,1,3,0,6.0,0,1,12.475,0,2
283,1,3,0,19.0,0,0,8.05,0,1
680,0,3,1,28.0,0,0,8.1375,1,1
42,0,3,0,28.0,0,0,7.8958,2,1
437,1,2,1,24.0,2,3,18.75,0,6
736,0,3,1,48.0,1,3,34.375,0,5
57,0,3,0,28.5,0,0,7.2292,2,1
405,0,2,0,34.0,1,0,21.0,0,2
128,1,3,1,28.0,1,1,22.3583,2,3
234,0,2,0,24.0,0,0,10.5,0,1
441,0,3,0,20.0,0,0,9.5,0,1
273,0,1,0,37.0,0,1,29.7,2,2
649,1,3,1,23.0,0,0,7.55,0,1
403,0,3,0,28.0,1,0,15.85,0,2
805,0,3,0,31.0,0,0,7.775,0,1
462,0,1,0,47.0,0,0,38.5,0,1
771,0,3,0,48.0,0,0,7.8542,0,1
790,0,3,0,28.0,0,0,7.75,1,1
112,0,3,0,22.0,0,0,8.05,0,1
682,0,3,0,20.0,0,0,9.225,0,1
620,0,3,0,27.0,1,0,14.4542,2,2
440,1,2,1,45.0,1,1,26.25,0,3
26,0,3,0,28.0,0,0,7.225,2,1
609,1,1,1,40.0,0,0,153.4625,0,1
746,0,3,0,16.0,1,1,20.25,0,3
882,0,3,1,22.0,0,0,10.5167,0,1
359,1,3,1,28.0,0,0,7.8792,1,1
176,0,3,0,28.0,3,1,25.4667,0,5
732,0,2,0,28.0,0,0,0.0,0,1
588,0,3,0,22.0,0,0,8.05,0,1
756,0,3,0,28.0,0,0,7.7958,0,1
712,1,1,0,48.0,1,0,52.0,0,2
210,0,3,0,24.0,0,0,7.05,0,1
748,0,1,0,19.0,1,0,53.1,0,2
96,0,1,0,71.0,0,0,34.6542,2,1
107,1,3,0,28.0,0,0,7.775,0,1
678,0,3,1,43.0,1,6,46.9,0,8
769,0,3,0,32.0,0,0,8.3625,0,1
197,0,3,0,42.0,0,1,8.4042,0,2
90,0,3,0,29.0,0,0,8.05,0,1
744,1,3,0,31.0,0,0,7.925,0,1
370,1,1,0,25.0,1,0,55.4417,2,2
391,1,3,0,21.0,0,0,7.7958,0,1
411,0,3,0,28.0,0,0,6.8583,1,1
25,1,3,1,38.0,1,5,31.3875,0,7
182,0,3,0,9.0,4,2,31.3875,0,7
427,1,2,1,19.0,0,0,26.0,0,1
750,1,2,1,4.0,1,1,23.0,0,3
322,1,2,1,30.0,0,0,12.35,1,1
83,0,1,0,28.0,0,0,47.1,0,1
657,0,3,1,32.0,1,1,15.5,1,3
871,1,1,1,47.0,1,1,52.5542,0,3
194,1,1,1,44.0,0,0,27.7208,2,1
594,0,2,0,37.0,1,0,26.0,0,2
711,0,1,0,28.0,0,0,26.55,0,1
672,0,2,0,70.0,0,0,10.5,0,1
506,1,2,1,33.0,0,2,26.0,0,3
44,1,3,1,19.0,0,0,7.8792,1,1
134,0,2,0,25.0,0,0,13.0,0,1
890,0,3,0,32.0,0,0,7.75,1,1
478,0,3,0,22.0,0,0,7.5208,0,1
699,0,3,0,42.0,0,0,7.65,0,1
875,1,3,1,15.0,0,0,7.225,2,1
236,0,2,0,44.0,1,0,26.0,0,2
571,1,1,1,53.0,2,0,51.4792,0,3
821,1,3,0,27.0,0,0,8.6625,0,1
518,1,2,1,36.0,1,0,26.0,0,2
381,1,3,1,1.0,0,2,15.7417,2,3
461,0,3,0,34.0,0,0,8.05,0,1
229,0,3,1,28.0,3,1,25.4667,0,5
450,0,2,0,36.0,1,2,27.75,0,4
284,0,1,0,28.0,0,0,26.0,0,1
202,0,3,0,34.0,0,0,6.4958,0,1
459,0,3,0,28.0,0,0,7.75,1,1
766,0,1,0,28.0,0,0,39.6,2,1
367,1,3,1,28.0,0,0,7.2292,2,1
676,0,3,0,24.5,0,0,8.05,0,1
479,1,3,1,2.0,0,1,12.2875,0,2
185,0,1,0,28.0,0,0,50.0,0,1
306,1,1,1,28.0,0,0,110.8833,2,1
413,0,2,0,28.0,0,0,0.0,0,1
158,0,3,0,28.0,0,0,8.6625,0,1
49,0,3,1,18.0,1,0,17.8,0,2
181,0,2,0,28.0,0,0,15.05,2,1
747,1,2,1,30.0,0,0,13.0,0,1
526,1,2,1,50.0,0,0,10.5,0,1
140,0,3,1,28.0,0,2,15.2458,2,3
378,0,3,0,20.0,0,0,4.0125,2,1
242,0,2,0,29.0,0,0,10.5,0,1
655,0,2,0,24.0,2,0,73.5,0,3
700,1,1,1,18.0,1,0,227.525,2,2
233,1,3,1,5.0,4,2,31.3875,0,7
473,1,2,1,23.0,0,0,13.7917,2,1
842,1,1,1,30.0,0,0,31.0,2,1
160,0,3,0,44.0,0,1,16.1,0,2
681,1,1,0,27.0,0,0,76.7292,2,1
27,0,1,0,19.0,3,2,263.0,0,6
631,0,3,0,51.0,0,0,7.0542,0,1
200,0,3,0,28.0,0,0,9.5,0,1
208,1,3,1,16.0,0,0,7.75,1,1
739,0,3,0,28.0,0,0,7.8958,0,1
470,0,3,0,28.0,0,0,7.25,0,1
172,1,3,1,1.0,1,1,11.1333,0,3
375,1,1,1,28.0,1,0,82.1708,2,2
46,0,3,0,28.0,1,0,15.5,1,2
344,0,2,0,36.0,0,0,13.0,0,1
263,0,1,0,40.0,0,0,0.0,0,1
412,1,1,1,33.0,1,0,90.0,1,2
592,0,3,0,47.0,0,0,7.25,0,1
388,0,3,0,28.0,0,0,7.7292,1,1
110,0,1,0,47.0,0,0,52.0,0,1
624,0,3,0,21.0,0,0,16.1,0,1
278,0,3,0,7.0,4,1,29.125,1,6
837,0,3,0,28.0,0,0,8.05,0,1
247,1,2,1,24.0,0,2,14.5,0,3
464,0,3,0,28.0,0,0,8.05,0,1
525,0,3,0,40.5,0,0,7.75,1,1
183,1,2,0,1.0,2,1,39.0,0,4
323,1,2,1,22.0,1,1,29.0,0,3
120,0,2,0,21.0,2,0,73.5,0,3
294,0,3,0,24.0,0,0,7.8958,0,1
660,1,1,0,50.0,2,0,133.65,0,3
262,0,1,0,52.0,1,1,79.65,0,3
656,0,3,0,28.0,0,0,7.8958,0,1
311,1,1,1,18.0,2,2,262.375,2,5
857,1,1,0,51.0,0,0,26.55,0,1
824,0,3,0,2.0,4,1,39.6875,0,6
537,1,1,1,30.0,0,0,106.425,2,1
129,0,3,0,45.0,0,0,6.975,0,1
310,1,1,1,24.0,0,0,83.1583,2,1
326,0,3,0,61.0,0,0,6.2375,0,1
122,0,2,0,32.5,1,0,30.0708,2,2
516,1,2,1,34.0,0,0,10.5,0,1
285,0,3,0,33.0,0,0,8.6625,2,1
665,0,2,0,32.0,2,0,73.5,0,3
535,1,2,1,7.0,0,2,26.25,0,3
135,0,2,0,23.0,0,0,15.0458,2,1
745,0,1,0,70.0,1,1,71.0,0,3
576,1,2,1,34.0,0,0,13.0,0,1
211,1,2,1,35.0,0,0,21.0,0,1
136,1,1,1,19.0,0,2,26.2833,0,3
203,0,3,0,45.5,0,0,7.225,2,1
406,0,3,0,51.0,0,0,7.75,0,1
154,0,3,0,28.0,0,0,7.3125,0,1
654,0,3,1,18.0,0,0,6.75,1,1
29,0,3,0,28.0,0,0,7.8958,0,1
850,0,3,0,4.0,4,2,31.275,0,7
865,1,2,1,42.0,0,0,13.0,0,1
599,1,1,0,49.0,1,0,56.9292,2,2
560,0,3,0,28.0,0,0,7.75,1,1
642,0,3,1,2.0,3,2,27.9,0,6
454,0,3,0,28.0,0,0,8.05,0,1
86,0,3,0,16.0,1,3,34.375,0,5
607,1,1,0,27.0,0,0,30.5,0,1
758,0,3,0,34.0,0,0,8.05,0,1
880,1,2,1,25.0,0,1,26.0,0,2
494,0,3,0,21.0,0,0,8.05,0,1
244,0,3,0,30.0,0,0,7.225,2,1
394,1,3,1,24.0,0,2,16.7,0,3
613,0,3,0,28.0,0,0,7.75,1,1
483,1,3,1,63.0,0,0,9.5875,0,1
696,0,3,0,44.0,0,0,8.05,0,1
114,0,3,1,17.0,0,0,14.4583,2,1
848,0,2,0,28.0,0,1,33.0,0,2
591,1,1,1,52.0,1,0,78.2667,2,2
720,1,2,1,6.0,0,1,33.0,0,2
421,0,3,0,21.0,0,0,7.7333,1,1
830,1,3,1,15.0,1,0,14.4542,2,2
472,1,2,1,33.0,1,2,27.75,0,4
532,0,3,0,17.0,1,1,7.2292,2,3
641,1,1,1,24.0,0,0,69.3,2,1
664,1,3,0,20.0,1,0,7.925,0,2
408,0,3,0,21.0,0,0,7.775,0,1
48,0,3,0,28.0,2,0,21.6792,2,3
174,0,1,0,56.0,0,0,30.6958,2,1
325,1,1,1,36.0,0,0,135.6333,2,1
225,0,3,0,22.0,0,0,9.35,0,1
30,0,1,0,40.0,0,0,27.7208,2,1
490,0,3,0,28.0,1,0,19.9667,0,2
617,0,3,1,26.0,1,0,16.1,0,2
480,0,3,0,9.0,5,2,46.9,0,8
468,0,3,0,28.0,0,0,7.725,1,1
424,0,3,0,18.0,1,1,20.2125,0,3
519,0,3,0,32.0,0,0,7.8958,0,1
573,1,3,1,28.0,0,0,7.75,1,1
457,1,1,1,28.0,1,0,51.8625,0,2
337,1,1,1,41.0,0,0,134.5,2,1
640,0,3,0,20.0,0,0,7.8542,0,1
82,1,3,1,28.0,0,0,7.7875,1,1
133,1,2,1,29.0,1,0,26.0,0,2
343,0,2,0,25.0,0,0,13.0,0,1
327,1,2,1,36.0,0,0,13.0,0,1
690,1,1,0,31.0,1,0,57.0,0,2
767,0,3,1,30.5,0,0,7.75,1,1
196,0,3,0,28.0,0,0,7.75,1,1
721,0,3,0,17.0,1,0,7.0542,0,2
313,0,3,0,28.0,0,0,7.8958,0,1
